序號,索引號,國君姓名,得位年,失位年,備註
11,25637,闞伯周,460,477,建立闞氏高昌
12,26897,闞義成,477,478,
13,26898,闞首歸,478,488,
21,26900,張孟明,488,496,高車王阿伏至羅殺闞首歸後立爲王，爲張氏高昌
31,26901,馬儒,496,497,張孟明被國人殺後立爲王，爲馬氏高昌
41,28046,麴嘉,501,525,馬儒被國人殺後立爲王，爲麴氏高昌
