序號,索引號,国君姓名,東周,春秋,戰國
1,,叔帶,-2,-2,
2,,公明,-1,-1,
3,,趙衰,1,1,
4,,趙盾,2,2,
5,,趙朔,3,3,
6,,趙武,4,4,
7,,趙景子,5,5,
8,29,趙簡子,6,6,
9,31,趙襄子,7,7,
10,43,趙桓子,8,8,
11,42,趙獻子,9,9,
12,3,趙烈侯,10,,1
13,66,趙武侯,11,,2
14,89,趙敬侯,12,,3
15,106,趙成侯,13,,4
16,227,趙肅侯,14,,5
17,256,趙武靈王,15,,6
18,446,趙惠文王,16,,7
19,814,趙孝成王,17,,8
20,1026,趙悼襄王,18,,9
21,1052,趙幽繆王,19,,10
22,1054,代王嘉,20,,11
