年份,正統年號,年號二,年號三,年號四
-1,元壽(漢哀帝)2,,,
1,元始(漢平帝)1,,,
2,元始(漢平帝)2,,,
3,元始(漢平帝)3,,,
4,元始(漢平帝)4,,,
5,元始(漢平帝)5,,,
6,居攝(孺子嬰)1,,,
7,居攝(孺子嬰)2,,,
8,居攝(孺子嬰)3,,,
9,始建國(王莽)1,始初(孺子嬰)1,,
10,始建國(王莽)2,,,
11,始建國(王莽)3,,,
12,始建國(王莽)4,,,
13,始建國(王莽)5,,,
14,天鳳(王莽)1,,,
15,天鳳(王莽)2,,,
16,天鳳(王莽)3,,,
17,天鳳(王莽)4,,,
18,天鳳(王莽)5,,,
19,天鳳(王莽)6,,,
20,地皇(王莽)1,,,
21,地皇(王莽)2,,,
22,地皇(王莽)3,,,
23,更始(更始帝)1,,,
24,更始(更始帝)2,,,
25,建武(漢光武帝)1,,,
26,建武(漢光武帝)2,,,
27,建武(漢光武帝)3,,,
28,建武(漢光武帝)4,,,
29,建武(漢光武帝)5,,,
30,建武(漢光武帝)6,,,
31,建武(漢光武帝)7,,,
32,建武(漢光武帝)8,,,
33,建武(漢光武帝)9,,,
34,建武(漢光武帝)10,,,
35,建武(漢光武帝)11,,,
36,建武(漢光武帝)12,,,
37,建武(漢光武帝)13,,,
38,建武(漢光武帝)14,,,
39,建武(漢光武帝)15,,,
40,建武(漢光武帝)16,,,
41,建武(漢光武帝)17,,,
42,建武(漢光武帝)18,,,
43,建武(漢光武帝)19,,,
44,建武(漢光武帝)20,,,
45,建武(漢光武帝)21,,,
46,建武(漢光武帝)22,,,
47,建武(漢光武帝)23,,,
48,建武(漢光武帝)24,,,
49,建武(漢光武帝)25,,,
50,建武(漢光武帝)26,,,
51,建武(漢光武帝)27,,,
52,建武(漢光武帝)28,,,
53,建武(漢光武帝)29,,,
54,建武(漢光武帝)30,,,
55,建武(漢光武帝)31,,,
56,建武中元(漢光武帝)1,,,
57,建武中元(漢光武帝)2,,,
58,永平(漢明帝)1,,,
59,永平(漢明帝)2,,,
60,永平(漢明帝)3,,,
61,永平(漢明帝)4,,,
62,永平(漢明帝)5,,,
63,永平(漢明帝)6,,,
64,永平(漢明帝)7,,,
65,永平(漢明帝)8,,,
66,永平(漢明帝)9,,,
67,永平(漢明帝)10,,,
68,永平(漢明帝)11,,,
69,永平(漢明帝)12,,,
70,永平(漢明帝)13,,,
71,永平(漢明帝)14,,,
72,永平(漢明帝)15,,,
73,永平(漢明帝)16,,,
74,永平(漢明帝)17,,,
75,永平(漢明帝)18,,,
76,建初(漢章帝)1,,,
77,建初(漢章帝)2,,,
78,建初(漢章帝)3,,,
79,建初(漢章帝)4,,,
80,建初(漢章帝)5,,,
81,建初(漢章帝)6,,,
82,建初(漢章帝)7,,,
83,建初(漢章帝)8,,,
84,元和(漢章帝)1,,,
85,元和(漢章帝)2,,,
86,元和(漢章帝)3,,,
