序號,索引號,国君姓名,別稱,得位年,失位年,備註
-2,11220,孫堅,武烈皇帝,,,奠基者
-1,12030,孫策,長沙桓王、孫討逆,,,奠基者
1,12031,孫權,吳大帝、吳太祖,229,252,
2,14844,孫亮,會稽王,252,258,
3,14873,孫休,吳景帝、琅邪王、吳太宗,258,264,
4,15018,孫皓,吳末帝、吳後主、烏程侯、歸命侯,264,280,其父孫和謚文帝
