序號,索引號,国君姓名,別稱,得位年,失位年,備註
1,11835,劉備,蜀漢先主、漢昭烈帝、漢烈祖,221,223,
2,12841,劉禪,蜀漢後主、安樂公、漢懷帝,223,263,
