序號,索引號,國君姓名,得位年,失位年,備註
-3,,葛烏菟,0,0,傳說中的始祖，出自炎帝
-2,,宇文普回,0,0,傳說中的始祖，拾得三玉璽，命名宇文
-1,,宇文莫那,0,0,宇文普回子，南遷遼西
1,16281,宇文莫槐,0,293,非首任，但前史不可考
2,16282,宇文普撥,293,0,
3,,宇文丘不勤,0,0,
4,16718,宇文莫珪,0,0,
5,,宇文遜昵延,0,0,
6,18426,宇文乞得龜,0,333,
7,18028,宇文逸豆歸,333,344,被慕容皝滅國，一說滅於345年
