序號,索引號,國君姓名,得位年,失位年,備註
1,19904,慕容泓,384,384,
2,19905,慕容沖,384,386,始稱帝
3,21093,段隨,386,386,
4,21115,慕容顗,386,386,
5,21118,慕容瑤,386,386,
6,21119,慕容忠,386,386,
7,21008,慕容永,386,396,
