序號,索引號,國君姓名,得位年,失位年,備註
1,16032,莫護跋,0,245,從司馬懿平公孫淵，首遷遼西
2,16033,慕容木延,245,271,
3,16034,慕容涉歸,271,283,
4,16063,慕容刪,283,285,
5,16064,慕容廆,285,333,使慕容部發展壯大
6,,慕容吐谷渾,283,317,慕容涉歸庶長子，與慕容廆矛盾，遷枹罕建吐谷渾
