序號,索引號,國君姓名,得位年,失位年,備註
-1,,乞伏如弗,0,0,
1,,乞伏紇干,0,0,乞伏部首任可汗，稱號託鐸莫何，巨蟲傳說
2,,乞伏祐鄰,265,0,乞伏紇干後代
3,,乞伏結權,0,0,
4,,乞伏利那 ,0,0,
5,,乞伏祁埿,0,0,
6,18661,乞伏述延 ,0,0,
7,18662,乞伏傉大寒,0,0,遷居麥田無孤山
8,18663,乞伏司繁,0,376,子乞伏國仁
