序號,索引號,国君姓名,別稱,得位年,失位年,備註
1,1249,劉邦,漢高帝、漢太祖,-202,-195,
2,1630,劉盈,漢惠帝,-195,-188,
3,1253,呂雉,呂后、漢高后,-188,-180,臨朝稱制
3.1,2256,劉恭,漢前少帝,-188,-184,
3.2,2403,劉弘,漢後少帝,-184,-180,
4,2212,劉恆,漢文帝、漢太宗,-180,-157,
5,2445,劉啓,漢景帝,-157,-141,
6,2046,劉徹,漢武帝、漢世宗,-141,-87,
7,4211,劉弗陵,漢昭帝,-87,-74,
7.1,4607,劉賀,漢廢帝、海昏侯,-74,-74,
8,4630,劉詢(劉病已),漢宣帝、漢中宗,-74,-49,
9,4643,劉奭,漢元帝,-49,-33,
10,2628,劉驁,漢成帝,-33,-7,
11,2629,劉欣,漢哀帝,-7,-1,
12,3414,劉衎,漢平帝,-1,6,
12.1,7042,劉嬰,孺子嬰,6,8,
101,6041,王莽,,9,23,篡漢
201,7601,劉玄,漢更始帝,23,25,稱帝，東漢不認可
