序號,索引號,国君姓名,東周,春秋,戰國
1,,韓萬,1,1,
2,,賕伯,2,2,
3,,韓簡,3,3,
4,,子輿,4,4,
5,,韓厥,5,5,
6,,韓宣子,6,6,
7,,韓須,7,7,
8,,韓不信,8,8,
9,,韓庚,9,9,
10,33,韓康子,10,10,
11,,韓武子,11,11,
12,4,韓景侯,12,,1
13,65,韓烈侯,13,,2
14,90,韓文侯,14,,3
15,104,韓哀侯,15,,4
16,110,韓共侯,16,,5
17,214,韓昭僖侯,17,,6
18,243,韓宣惠王,18,,7
19,416,韓襄王,19,,8
20,603,韓釐王,20,,9
21,656,韓桓惠王,21,,10
22,1036,韓王安,22,,11
