序號,索引號,國君姓名,得位年,失位年,備註
1,15864,劉淵,304,310,定國號為漢，史稱匈奴漢、前漢
2,,劉和,310,310,
3,16904,劉聰,310,318,
4,,劉粲,318,318,
5,16914,劉曜,318,328,319年改國號為趙，史稱前趙
