序號,索引號,國君姓名,得位年,失位年,備註
-11,,乞伏如弗,0,0,
-8,,乞伏紇干,0,0,乞伏部首任可汗，稱號託鐸莫何，巨蟲傳說
-7,,乞伏祐鄰,265,0,乞伏紇干後代
-6,,乞伏結權,0,0,
-5,,乞伏利那 ,0,0,
-4,,乞伏祁埿,0,0,
-3,18661,乞伏述延 ,0,0,
-2,18662,乞伏傉大寒,0,0,遷居麥田無孤山
-1,18663,乞伏司繁,0,376,子乞伏國仁
1,20644,乞伏國仁,385,388,正式建國，但僅稱前秦所封苑川王
2,21069,乞伏乾歸,388,400,394年自稱秦王，400年亡於後秦
2,21069,乞伏乾歸,409,412,409年復國再稱秦王
3,21426,乞伏熾磐,412,428,414年滅南涼
4,,乞伏暮末,428,431,
