序號,索引號,國君姓名,得位年,失位年,備註
1,16601,張軌,,,奠基人，301-314統治涼州
2,17131,張寔,314,320,314年接手涼州，318年西晉亡
3,17123,張茂,320,324,徹底成為獨立政權
4,18057,張駿,324,346,
5,18805,張重華,346,353,
6,19700,張曜靈,353,353,
7,19701,張祚,353,355,354年改元稱王/帝
8,19715,張玄靚,355,363,復西晉年號，361年改為東晉年號
9,19713,張天錫,363,376,
