序號,索引號,國君姓名,得位年,失位年,備註
-1,16064,慕容廆,,,285-333年統治慕容鮮卑
1,16203,慕容皝,334,348,自稱燕王
2,,慕容儁,349,360,352年滅冉魏稱帝
3,,慕容暐,360,370,
