序號,索引號,國君姓名,得位年,失位年,備註
-4,17225,誥升爰,272,309,南匈奴首領
-3,17226,烏路孤,309,341,即劉虎，始建匈奴鐵弗部
-2,19098,劉務桓,341,356,
-1,19908,劉衛辰,359,391,
1,21318,赫連勃勃,407,425,始建胡夏
2,,赫連昌,425,428,
3,,赫連定,428,431,
