序號,索引號,國君姓名,得位年,失位年,備註
1,19079,慕容垂,384,396,384年稱燕王，386年稱帝
2,19898,慕容寶,396,398,
3,20840,蘭汗,398,398,
4,20922,慕容盛,398,401,
5,,慕容熙,401,407,
6,,高雲,407,409,或定義為北燕開國君主
