序號,索引號,國君姓名,得位年,失位年,備註
1,17276,苻洪,350,350,由蒲改苻，自稱三秦王
2,19451,苻健,351,355,351年正式建立前秦
3,,苻生,355,357,
4,,苻堅,357,385,發動淝水之戰
5,,苻丕,385,386,
6,,苻登,386,394,
7,,苻崇,394,394,
