序號,索引號,國君姓名,得位年,失位年,備註
1,17012,石勒,319,333,330年稱帝
2,18224,石弘,333,334,石虎實控
3,17356,石虎,334,349,空檔期實控，337年稱大趙天王
4,19414,石世,349,349,在位21天
5,18812,石遵,349,349,在位183天
6,18813,石鑒,349,350,在位103天，被冉閔控制
7,,石祗,350,351,自立為帝
