序號,索引號,國君姓名,得位年,失位年,備註
-2,17483,姚弋仲,0,0,奠基者
-1,19474,姚襄,0,0,奠基者
1,19660,姚萇,384,394,384年自稱萬年秦王，386年稱帝
2,20910,姚興,394,416,
3,,姚泓,416,417,
