序號,索引號,國君姓名,得位年,失位年,備註
-2,16314,李特,302,303,奠基者
-1,16316,李流,303,303,接班奠基者
1,16686,李雄,303,334,304年稱王，306年稱帝，定國號為成
2,18405,李班,334,334,
3,18854,李期,334,338,
4,16916,李壽,338,343,338年改國號為漢
5,19010,李勢,343,347,晉滅成漢之戰被桓溫滅
11,17848,范賁,347,349,成漢滅後被擁立為帝
