序號,索引號,國君姓名,得位年,失位年,備註
1,21243,段業,397,401,或不認為是北涼君主
2,21644,沮渠蒙遜,401,433,
3,23612,沮渠牧犍,433,439,北涼滅亡
11,24424,沮渠無諱,443,444,建高昌北涼
12,24215,沮渠安周,444,460,
