序號,索引號,國君姓名,得位年,失位年,備註
-6,,禿髮匹孤,0,0,拓跋詰汾長子
-5,,禿髮壽闐,0,0,
-4,15660,禿髮樹機能,252,279,對抗西晉發動秦涼之變
-3,20057,禿髮務丸,279,0,
-2,20055,禿髮椎斤,0,365,活了110歲
-1,20056,禿髮思復鞬,365,394,
1,21433,禿髮烏孤,394,399,397年建立南涼
2,21667,禿髮利鹿孤,399,402,
3,21814,禿髮傉檀,402,414,402始稱涼王，404-408稱臣後秦
